Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Гидравлический,Усилитель руля,Управление климатом,Управление на руле,Салон,Цвет салона,Электростеклоподъемники,Электропривод,Мультимедиа и навигацияCD/DVD/Blu-rayMP3,Подушки безопасности,Коленные,Боковые передние,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Данные о ,О,Передних сидений,Заднего стекла,Передние и задние,Зеркал,Антиблокировка тормозов,Шторки,Обогрев,Задних сидений,Иммобилайзер,Помощь при вождении,Парктроник задний,Бортовой компьютер,Атермальное остекление,Камера заднего вида,Датчик дождя,Круиз-контроль,Боковые задние,Шины и диски,Кожаный руль,Мультимедиа и навигацияUSBAUX,Электрический,Блок. дифференциала,Климат-контроль многозонный,Сигнализация,Мультимедиа и навигацияMP3,Курсовая устойчивость,Мультимедиа и навигация,Тёмный,Обслуживался у дилера,Мультимедиа и навигацияUSBAUXBluetooth,Ксеноновые,Климат-контроль однозонный,РадиоUSB,Ткань,ВидеоUSBAUXBluetoothGPS-навигатор
"Volkswagen Polo 1.6 AT, 2018, 44 000 км","4,8",1490000,"Краснодарский край, Армавир, ул. Желябова, 98",2018,V рестайлинг (2015—2020),44 000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.6 MT, 1988, 200 000 км","4,7",70000,"Санкт-Петербург, пр-т Просвещения",1988,B3 (1988—1993),200 000 км,4 записи в отчёте Автотеки,,3,Не битый,1.6 MT (72 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серый,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,,,,,,,,,,,,,,,,,,,,,,Салон,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 54 000 км","4,8",930000,"Пермский край, Пермь, Янаульская ул., 34",2014,V (2009—2015),54 000 км,2 записи в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Атермальное остекление,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 3.0 AT, 2008, 280 000 км","4,6",1098000,"Нижегородская обл., Нижний Новгород, Южный б-р, 17",2008,I рестайлинг (2006—2010),280 000 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,3.0 V6 TDI AT (224 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,Не интересует,,,,,,Климат-контроль многозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2014, 157 400 км","4,8",915000,"Оренбургская обл., Соль-Илецкий г.о., Соль-Илецк, Советская ул., 6/2",2014,V (2009—2015),157 400 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Trendline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Кондиционер,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 2.0 AMT, 2020, 32 000 км","5,0",2270000,"Краснодарский край, Краснодар, Фестивальный мкр-н, ул. Тургенева, 62",2020,VII (2018—2021),32 000 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,2.0 TSI DSG (230 л.с.),2 л,Бензин,Робот,Передний,GLI,Седан,Белый,Левый,3VW6*************,Не интересует,,,Шторки,,Электрический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2013, 163 500 км","4,8",1070000,"Ростовская обл., Каменск-Шахтинский, мкр-н Лиховской, Советская ул., 52",2013,V (2009—2015),163 500 км,15 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW8Z*************,,Сигнализация,Иммобилайзер,,,Гидравлический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2017, битый, 127 700 км","4,8",900000,"Республика Дагестан, Махачкала, ул. Митарова, 13",2017,V рестайлинг (2015—2020),127 700 км,11 записей в отчёте Автотеки,Оригинал,2,Битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Allstar,Седан,Бежевый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,Заднего стекла,,,Передних сидений,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Multivan 2.0 MT, 2010, 361 533 км","4,3",1725000,"Ярославская обл., Ярославль",2010,T5 рестайлинг (2009—2015),361 533 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TDI MT (140 л.с.),2 л,Дизель,Механика,Передний,Highline,Минивэн,Белый,Левый,WV2Z*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2011, 188 100 км","4,8",825000,"Чувашская Республика, Чебоксары, пр-т Тракторостроителей, 76",2011,V (2009—2015),188 100 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Highline,Седан,Серый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2012, 190 000 км","4,8",695000,"Тамбовская обл., Рассказово, Советская ул., 31А",2012,V (2009—2015),190 000 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Бежевый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Атермальное остекление,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2012, 264 069 км","4,8",725000,"Республика Татарстан, Нижнекамский р-н, муниципальное образование Нижнекамск, Нижнекамск, ул. Сююмбике, 7",2012,V (2009—2015),264 069 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Серый,Левый,XW8Z*************,Не интересует,Сигнализация,Подушки безопасности,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.6 MT, 2006, 175 094 км","4,7",520000,"Архангельская обл., Архангельск, Стрелковая ул., 25к1",2006,Mk5 (2003—2009),175 094 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,WVWZ*************,Не интересует,Центральный замок,,,,Электрический,Климат-контроль многозонный,,,,,Зеркал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 MT, 1995, 120 000 км","4,8",230000,"Кировская обл., Киров, район Исторический Центр",1995,B4 (1993—1997),120 000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 MT (115 л.с.),2 л,Бензин,Механика,Передний,Базовая,Седан,Белый,Левый,WVWE*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 MT, 2001, 238 300 км","4,7",325000,"Тульская обл., Тула, ул. Радищева, 4",2001,III рестайлинг (1999—2001),238 300 км,7 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Синий,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2019, 81 000 км","4,8",1388000,"Рязанская обл., Рязань, Касимовское ш.",2019,V рестайлинг (2015—2020),81 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Football Edition,Седан,Красный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2019, 51 000 км","4,8",1300000,"Москва, ул. Васильцовский Стан, 13к1",2019,V рестайлинг (2015—2020),51 000 км,9 записей в отчёте Автотеки,Дубликат,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Синий,Левый,XW8Z*************,Не интересует,,Подушки безопасности,Боковые передние,,Гидравлический,Кондиционер,Противоугонная система,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 2.0 AT, 1999, 196 000 км","4,9",350000,"Смоленская обл., Смоленск, пл. Желябова",1999,IV (1998—2005),196 000 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 AT (116 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Седан,Бордовый,Левый,3VWS*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,,,,,,,,,,,,Электропривод,Рулевой колонки,,,,,,,,,Электростеклоподъемники,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 MT, 2001, 200 000 км","4,7",180000,"Московская обл., г.о. Красногорск, с. Ангелово, Центральная ул.",2001,III рестайлинг (1999—2001),200 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,WVWZ*************,Не интересует,Иммобилайзер,,,,Гидравлический,,,Ткань,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 170 000 км","4,8",785000,"Краснодарский край, Новороссийск, Мысхакское ш., 54",2014,V (2009—2015),170 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Club,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Кондиционер,,,,,,,Фронтальные,,Активная безопасность,,,,,,,,,,Распред. тормозных усилий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 2010, 237 000 км","4,8",765000,"Ставропольский край, Ставрополь, Уфимский пр.",2010,V (2005—2011),237 000 км,19 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 AT (102 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Чёрный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2020, 87 792 км","4,8",1220000,"Краснодарский край, Краснодар, Западный внутригородской округ, мкр-н Горгаз",2020,V рестайлинг (2015—2020),87 792 км,11 записей в отчёте Автотеки,Электронный,2,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Белый,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 1985, 414 000 км","4,9",45000,"Новгородская обл., Парфинский р-н, Федорковское сельское поселение, д. Рудново, Новая ул.",1985,II (1984—1992),414 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (72 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Бордовый,Левый,WVWZ*************,Возможен,,,,,,,,Ткань,Светлый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.9 MT, 1992, 510 000 км","4,7",135000,"Москва, Кировоградская ул.",1992,B3 (1988—1993),510 000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,1.9 MT (90 л.с.),1.9 л,Дизель,Механика,Передний,Базовая,Универсал,Серебряный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.8 MT, 1993, 350 000 км","4,6",170000,"Санкт-Петербург, пр-т Просвещения, 100/121",1993,Mk3 (1991—2000),350 000 км,6 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (75 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Пурпурный,Левый,WVWZ*************,Возможен,Сигнализация,Иммобилайзер,,,Гидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.9 MT, 2008, 157 000 км","4,8",525000,"Санкт-Петербург, Комендантский пр-т, 21к2",2008,V (2005—2011),157 000 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.9 TDI MT (105 л.с.),1.9 л,Дизель,Механика,Передний,Базовая,Седан,Синий,Левый,XW8Z*************,Возможен,,,,,Электрогидравлический,Климат-контроль многозонный,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зимние шины в комплекте,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AMT, 2011, 178 000 км","4,7",1250000,"Свердловская обл., Екатеринбург, пр-т Космонавтов, 108Д",2011,B7 (2010—2015),178 000 км,18 записей в отчёте Автотеки,Дубликат,3,Не битый,1.8 TSI DSG (152 л.с),1.8 л,Бензин,Робот,Передний,Highline,Седан,Чёрный,Левый,WVWZ*************,Не интересует,,,,,Электрический,Климат-контроль многозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 2002, 316 304 км","4,7",290000,"Ставропольский край, Арзгирский муниципальный округ, с. Арзгир, Первомайская ул.",2002,B5 рестайлинг (2000—2005),316 304 км,6 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (150 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,WVWZ*************,Возможен,,,,,Гидравлический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AMT, 2011, 246 000 км","4,7",950000,"Брянская обл., Брянск, ул. Крахмалёва, 8",2011,B7 (2010—2015),246 000 км,17 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 TSI DSG (152 л.с),1.8 л,Бензин,Робот,Передний,Style,Седан,Белый,Левый,WVWZ*************,Возможен,Центральный замок,,,,Гидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 MT, 2006, 219 545 км","4,6",690000,"Москва, ул. Академика Королёва, 32",2006,B6 (2005—2010),219 545 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 TDI MT (140 л.с.),2 л,Дизель,Механика,Передний,Highline,Универсал,Чёрный,Левый,WVWZ*************,Не интересует,Сигнализация,Иммобилайзер,,,Электрогидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AMT, 2018, 76 590 км","4,8",3095000,"Воронежская обл., Воронеж, ул. Остужева, 41",2018,II (2016—2020),76 590 км,18 записей в отчёте Автотеки,,2,Не битый,2.0 TSI 4MOTION DSG (220 л.с.),2 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,,Центральный замок,,,,,Климат-контроль многозонный,,Кожа,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,Люк,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.6 MT, 2002, 310 000 км","4,7",299000,"Воронежская обл., Воронеж, ул. Димитрова, 55",2002,Mk4 (1997—2006),310 000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (101 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,,,,Тёмный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Аудиосистема8+ колонок,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 MT, 2010, 220 411 км","4,9",629000,"Кировская обл., Киров, ул. Ломоносова, 3",2010,V (2009—2015),220 411 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 MT (85 л.с.),1.4 л,Бензин,Механика,Передний,Style,Хетчбек 5-дверный,Синий,Левый,WVWZ*************,Возможен,,,,,Гидравлический,Кондиционер,Атермальное остекление,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2011, 196 720 км","4,8",600000,"Костромская обл., Кострома, 8-й Окружной пр.",2011,V (2009—2015),196 720 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Синий,Левый,XW8Z*************,,Центральный замок,,,,,,,,,,,,,,,,Усилитель руля,,,,,,,,,,,,Активная безопасность,,,,,,,,,,,,Управление климатом,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 2016, 125 000 км","4,9",1330000,"Волгоградская обл., г.о. Волгоград, Краснооктябрьский район",2016,VI рестайлинг (2014—2019),125 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Highline,Седан,Серебряный,Левый,XW8Z*************,Возможен,,,,,Гидравлический,Климат-контроль однозонный,Атермальное остекление,Комбинированный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2011, 140 000 км","4,7",1169000,"Нижегородская обл., Нижний Новгород, ул. Пискунова",2011,I (2007—2011),140 000 км,4 записи в отчёте Автотеки,Оригинал,3,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Серебряный,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Климат-контроль однозонный,,Кожа,Тёмный,Передние и задние,Передних сидений,,,,,,,,,,,,,Заднего стекла,,,Передних сидений,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2014, 157 000 км","4,8",1489900,"Самарская обл., г.о. Самара, Октябрьский район",2014,I рестайлинг (2011—2019),157 000 км,23 записи в отчёте Автотеки,,3,Не битый,2.0 TDI 4Motion AT (140 л.с.),2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Возможен,,,,,,Климат-контроль многозонный,,Кожаный руль,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2013, 257 000 км","4,8",620000,"Москва, Кировоградская ул., 22",2013,V (2009—2015),257 000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Sochi Edition,Седан,Белый,Левый,XW8Z*************,Не интересует,Центральный замок,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2011, 129 000 км","4,8",1600000,"Санкт-Петербург, Лиговский пр-т, 259М",2011,I рестайлинг (2011—2019),129 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TDI 4Motion AT (140 л.с.),2 л,Дизель,Автомат,Полный,Cup,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,,,,,,,,,Управление климатом,Усилитель руля,Управление на руле,,,,,,,,,,,,
"Volkswagen Jetta 1.6 MT, 1987, 150 000 км","4,9",75000,"Смоленская обл., Рославльский р-н, Рославльское городское поселение, Рославль, пл. Ленина",1987,II (1984—1992),150 000 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (75 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Синий,Левый,WVWG*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 1.4 MT, 2012, 202 000 км","4,8",1000000,"Ленинградская обл., Всеволожский р-н, Муринское городское поселение, Мурино, Оборонная ул., 26",2012,I рестайлинг (2011—2019),202 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Синий,Левый,XW8Z*************,Не интересует,,,,,,Климат-контроль многозонный,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Противоугонная система,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 123 000 км","4,8",890000,"Пермский край, Пермь, ул. Чкалова, 15",2013,V (2009—2015),123 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Sochi Edition,,Серебряный,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1999, 287 800 км","4,7",410000,"Москва, Варшавское ш. (дублёр)",1999,B5 (1996—2001),287 800 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 MT (150 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Универсал,Синий,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2011, 150 000 км","4,8",900000,"Ставропольский край, Предгорный муниципальный округ, станица Ессентукская, ул. Павлова, 10Ак2",2011,V (2009—2015),150 000 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Style,Седан,Серебряный,Левый,XW8Z*************,Не интересует,,,,,,,,Ткань,,Передние и задние,,,,,,,,,,,,,,Заднего стекла,,,Передних сидений,,,,,,,,,,,,Усилитель руля,,Управление климатом,,,,,,,,,,,,,,
"Volkswagen Touareg 2.5 AT, 2006, 324 000 км","4,7",950000,"Макеевский городской совет, Макеевка, Солнечный мкр-н",2006,I (2002—2006),324 000 км,14 записей в отчёте Автотеки,Дубликат,3,Не битый,2.5 TDI AT (174 л.с.),2.5 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,WVGZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 179 900 км","4,8",725000,"Санкт-Петербург, Пулковское ш., 73к2",2013,V (2009—2015),179 900 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Style,Седан,Серый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 1.4 AMT, 2021, битый, 19 573 км","4,9",1650000,"Москва, 6-я Радиальная ул., 5к5",2021,II рестайлинг (2020—2024),19 573 км,Проверить в Автотеке,Электронный,1,Битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,Respect Plus,Внедорожник 5-дверный,Бежевый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Климат-контроль многозонный,Противоугонная система,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Центральный замок,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1995, 410 000 км","4,8",195000,"Брянская обл., г.о. Клинцы, с. Займище, Клинцовская ул.",1995,B4 (1993—1997),410 000 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Зелёный,Левый,WVWZ*************,Не интересует,Центральный замок,,,,Гидравлический,,,Ткань,Тёмный,Передние и задние,Зеркал,,,,,,,,,,,,,,,,,,,,,,,,,,,Зимние шины в комплекте,,,,,,,Радио,,,,,,,,,,
"Volkswagen Golf 2.0 AT, 2007, 168 000 км","4,7",685000,"Челябинская обл., Челябинск, ул. Художника Русакова",2007,Mk5 (2003—2009),168 000 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 FSI AT (150 л.с.),2 л,Бензин,Автомат,Передний,GT,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,Антипробуксовка,,,,,,,,Активная безопасность,,,,,,,,,,,,,Распред. тормозных усилий,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 206 000 км","4,8",1100000,"Республика Крым, Симферополь, Хвойный пер., 80",2014,V (2009—2015),206 000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Comfortline,Седан,Коричневый,Левый,XW8Z*************,Не интересует,Центральный замок,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 2008, 232 000 км","4,8",640000,"Санкт-Петербург, пр-т Наставников, 5к1",2008,V (2005—2011),232 000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (102 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Серый,Левый,XW8Z*************,Возможен,Сигнализация,Иммобилайзер,,,Электрогидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
