Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Усилитель руля,Управление климатом,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Антиблокировка тормозов,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Обнаружение пешеходов,Кондиционер,Противоугонная система,Центральный замок,Атермальное остекление,Сигнализация,Иммобилайзер,Фронтальные,Цвет салона,Электростеклоподъемники,Помощь при вождении,Фары,Боковые задние,Электрический,Салон,Климат-контроль многозонный,Кожаный руль,Данные о ,О,Шторки,Блок. дифференциала,Климат-контроль однозонный,Мультимедиа и навигацияCD/DVD/Blu-rayMP3Bluetooth,Датчик дождя,Бортовой компьютер,Передних сидений,Электропривод,Память настроек,Гидравлический,Обслуживался у дилера,Спутник,Электрогидравлический,Обогрев,Зеркал,"Шины и диски15""",Мультимедиа и навигация,Складывания зеркал,Заднего стекла,Ткань,Круиз-контроль,Камера заднего вида,Люк,Тёмный,Передние и задние
"Honda Civic 1.8 AT, 2007, 130 000 км","4,9",925000,"Республика Татарстан, Казань, ул. Ноксинский Спуск, 26",2007,VIII (2005—2009),130 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Синий,Левый,JHMF*************,Не интересует,Гидравлический,Климат-контроль многозонный,,Фронтальные,Шторки,,,,,,,,Сигнализация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2008, 247 788 км","4,8",760000,"Нижегородская обл., Нижний Новгород, Ракетная ул.",2008,VIII рестайлинг (2008—2011),247 788 км,19 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,Executive,Хетчбек 5-дверный,Красный,Левый,SHHF*************,Не интересует,Электрогидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda City 1.5 AT, 2009, 211 038 км",Отсутствует,800000,"Республика Татарстан, Казань, ул. Галии Кайбицкой, 15",2009,V (2008—2014),211 038 км,9 записей в отчёте Автотеки,,2,Не битый,1.5 AT (120 л.с.),1.5 л,Бензин,Автомат,Передний,Базовая,Седан,Синий,Левый,MRHG*************,Не интересует,Гидравлический,Кондиционер,,,,,,,,,,,Сигнализация,,,,,,,,,Светодиодные,,,Кожаный руль,,,,,,,,,,,,,,,,,,,,Зимние шины в комплекте,РадиоUSBAUX,,,,,,,,
"Honda CR-V 2.4 AT, 2008, 261 219 км","4,9",1450000,"Москва, Иркутская ул., 5/6с1",2008,III (2006—2009),261 219 км,23 записи в отчёте Автотеки,,4+,Не битый,2.4 4WD AT (166 л.с.),2.4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Возможен,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зеркал,,,,,,Зеркал,,,,,,,,,,,
"Honda CR-V 2.4 AT, 2010, 257 000 км","4,9",1648000,"Ростовская обл., Новочеркасск, Баклановский пр-т, 120",2010,III рестайлинг (2009—2012),257 000 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 i-VTEC AT (166 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Синий,Левый,SHSR*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.3 CVT, 2009, 180 000 км","4,8",800000,"Краснодарский край, Крымский р-н, Крымское городское поселение, Крымск, Огородная ул., 30",2009,VIII рестайлинг (2008—2011),180 000 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.3 Hybrid CVT (95 л.с.),1.3 л,Гибрид,Вариатор,Передний,Elegance,Седан,Чёрный,Левый,JHMF*************,Не интересует,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 1.5 CVT, 2022, 23 700 км","5,0",3450000,"Краснодарский край, Краснодар, ул. Григория Булгакова, 6",2022,V (2016—2022),23 700 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 CVT (192 л.с.),1.5 л,Бензин,Вариатор,Передний,EX-L,Внедорожник 5-дверный,Серебряный,Левый,5J6R*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2011, 169 000 км","4,9",2000000,"Нижегородская обл., Нижний Новгород, Канавинский район, жилой район Мещерское Озеро, Пролетарская ул., 3",2011,III рестайлинг (2009—2012),169 000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Lifestyle,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Не интересует,Гидравлический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,,,,,,,,Коленные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 130 000 км","4,9",925000,"Республика Татарстан, Казань, ул. Ноксинский Спуск, 26",2007,VIII (2005—2009),130 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Синий,Левый,JHMF*************,Не интересует,Гидравлический,Климат-контроль многозонный,,Фронтальные,Шторки,,,,,,,,Сигнализация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Airwave 1.5 CVT, 2008, 49 000 км","5,0",1150000,"Краснодарский край, Анапа, пл. Советов",2008,GJ рестайлинг (2008—2010),49 000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.5 CVT (110 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Универсал,Голубой,Правый,GJ1-*******,Не интересует,Электрический,Климат-контроль однозонный,Атермальное остекление,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Elysion 2.4 AT, 2010, 154 000 км","4,8",819000,"Республика Ингушетия, Сунжа, ул. Висаитова",2010,I рестайлинг (2006—2013),154 000 км,,Оригинал,1,Не битый,2.4 4WD AT (160 л.с.),2.4 л,Бензин,Автомат,Полный,Базовая,Минивэн,Белый,Правый,RR2-*******,Не интересует,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,,,,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 MT, 2007, 204 700 км","4,8",598070,"Воронежская обл., Воронеж, ул. Изыскателей, 23",2007,VIII (2005—2009),204 700 км,16 записей в отчёте Автотеки,,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Sport,Хетчбек 5-дверный,Серый,Левый,SHHF*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 MT, 2007, 229 000 км","4,8",750000,"Республика Крым, Симферополь, Севастопольская ул.",2007,VIII (2005—2009),229 000 км,12 записей в отчёте Автотеки,,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,SHHF*************,Не интересует,,,,,,,,,,,,,,,,,,,,Передние и задние,,,,Управление климатом,,,,,,,,Цвет салона,,,,Зеркал,Зеркал,,,,,,,,,,Обогрев,Усилитель руля,,,,,,
"Honda CR-V 2.4 AT, 2011, 174 000 км","4,9",1699000,"Кировская обл., Киров, ул. Сурикова, 16",2011,III рестайлинг (2009—2012),174 000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,2.4 i-VTEC AT (166 л.с.),2.4 л,Бензин,Автомат,Полный,Sport,Внедорожник 5-дверный,Красный,Левый,5J6R*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 240 000 км","4,9",1090000,"Москва, Восточный административный округ, район Ивановское",2008,VIII (2005—2009),240 000 км,Проверить в Автотеке,Оригинал,2,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,JHMF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 245 000 км","4,9",630000,"Нижегородская обл., Нижний Новгород, Автозаводский район, мкр-н Мончегорский, Мончегорская ул., 3к1",2007,VIII (2005—2009),245 000 км,27 записей в отчёте Автотеки,Дубликат,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Синий,Левый,JHMF*************,Не интересует,,,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,Усилитель руля,,,,,,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda City 1.5 AT, 2001, 270 000 км","5,0",245000,"Краснодарский край, Динской р-н, Динское сельское поселение, станица Динская, Садовая ул., 16",2001,III (1996—2002),270 000 км,7 записей в отчёте Автотеки,Дубликат,3,Не битый,1.5 AT (115 л.с.),1.5 л,Бензин,Автомат,Передний,Базовая,Седан,Золотой,Правый,MRH3*************,Не интересует,,,,,,,,,,,,,Сигнализация,Салон,,,,,,Передние и задние,,,,,,,,,,,,,,,,,,,Управление климатом,,,,,,,,,,Усилитель руля,,,,,
"Honda e:NS1 AT, 2023, 20 км",Отсутствует,3550000,"Пензенская обл., Пенза, ул. Суворова, 3А",2023,I (2022—2024),20 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,Не интересует,Электрический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,,,,,,,,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2008, 158 918 км","4,8",989000,"Свердловская обл., Берёзовский г.о., Берёзовский, Берёзовский тракт, 4Б",2008,VIII рестайлинг (2008—2011),158 918 км,15 записей в отчёте Автотеки,,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Красный,Левый,SHHF*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022, 91 км",Отсутствует,3080000,"Ставропольский край, Ставрополь, ул. Южный Обход, 57",2022,I (2022—2024),91 км,Проверить в Автотеке,,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LVHR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.7 MT, 2003, 180 000 км","4,9",430000,"Москва, Новочеркасский б-р, вл5",2003,VII (2000—2003),180 000 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.7 MT (125 л.с.),1.7 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,1HGE*************,Не интересует,Электрогидравлический,Кондиционер,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2007, 400 000 км","4,7",725000,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, территория Славянка, Ростовская ул.",2007,VII рестайлинг (2005—2008),400 000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.4 AT (190 л.с.) Type S,2.4 л,Бензин,Автомат,Передний,Базовая,Седан,Коричневый,Левый,JHMC*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Shuttle 1.5 CVT, 2018, 51 000 км","4,9",1809000,"Краснодарский край, Анапа, пл. Советов",2018,II (2015—2019),51 000 км,,Электронный,1,Не битый,1.5 CVT (132 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Универсал,Белый,Правый,GK9-*******,Возможен,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NP1 AT, 2023, 50 км",Отсутствует,3250000,"Краснодарский край, Краснодар, ул. имени Дзержинского, 100",2023,I (2022—2024),50 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LHGR*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2011, 119 592 км","4,8",1350000,"Московская обл., г.о. Химки, д. Подолино, мкр-н Велтон Парк Новая Сходня, Беговая ул., 12",2011,I (2008—2016),119 592 км,,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,,Минивэн,Бордовый,Правый,GB3-*******,Не интересует,Электрический,Климат-контроль однозонный,,Фронтальные,,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 AMT, 2018, 72 000 км","5,0",1890000,"Краснодарский край, Сочи, мкр-н КСМ, Кипарисовая ул., 16",2018,II (2016—2019),72 000 км,,,1,Не битый,1.5 Hybrid 4WD AMT (110 л.с.),1.5 л,Гибрид,Робот,Полный,Базовая,Минивэн,Серый,Правый,GB8-********,,,,,,,,,Антиблокировка тормозов,,,,,Сигнализация,Иммобилайзер,,,,,,,Камера заднего вида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бортовой компьютер,,,,
"Honda Civic 1.8 AT, 2006, 213 258 км","4,9",540000,"Владимирская обл., Владимир, Суздальский пр-т, 28",2006,VIII (2005—2009),213 258 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Синий,Левый,JHMF*************,Не интересует,Электрический,Кондиционер,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 MT, 2004, 247 500 км","4,7",800000,"Псковская обл., Себежский р-н, муниципальное образование Идрица, рп. Идрица, ул. Ленина",2004,II (2001—2004),247 500 км,9 записей в отчёте Автотеки,Дубликат,2,Не битый,2.0 4WD MT (150 л.с.),2 л,Бензин,Механика,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,SHSR*************,Не интересует,,,,,,,,,,,,,,,,,,,,Передние и задние,,,,Управление климатом,Комбинированный,,Усилитель руля,,,,,Цвет салона,,,,,,,,,,,Передних сидений,Заднего стекла,,,,,,,,,,
"Honda Accord 2.4 AT, 2012, 183 000 км","4,8",1397000,"Краснодарский край, Краснодар, Ростовское ш., 20/1",2012,VIII рестайлинг (2011—2013),183 000 км,27 записей в отчёте Автотеки,,4+,Не битый,2.4 i-VTEC AT (200 л.с.),2.4 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,JHMC*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 182 711 км","4,9",899000,"Санкт-Петербург, Пискарёвский пр-т, 144АК",2008,VIII (2005—2009),182 711 км,10 записей в отчёте Автотеки,,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Синий,Левый,NLAF*************,,,Климат-контроль однозонный,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,Боковые передние,,,,,,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2012, 214 000 км","4,8",1700000,"Архангельская обл., Новодвинск, Солнечная ул., 14",2012,VIII рестайлинг (2011—2013),214 000 км,16 записей в отчёте Автотеки,Оригинал,2,Не битый,2.4 i-VTEC AT (200 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Белый,Левый,JHMC*************,Не интересует,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,Тёмный,,,,,,Кожа,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2017, 130 500 км","4,9",2250000,"Москва, Зеленоград",2017,V (2015—2017),130 500 км,4 записи в отчёте Автотеки,Электронный,2,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Синий,Правый,RP31******,Возможен,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,Усилитель руля,,,,,,,,,,,,,Управление климатом,,Управление на руле,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2012, 154 576 км","4,9",1399000,"Санкт-Петербург, пр-т Маршала Жукова, 78",2012,III рестайлинг (2009—2012),154 576 км,13 записей в отчёте Автотеки,,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Коричневый,Левый,SHSR*************,Возможен,,Климат-контроль многозонный,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,Комбинированный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2020, 34 000 км","5,0",1417000,"Республика Адыгея, Теучежский р-н, Тлюстенхабльское городское поселение, пгт. Тлюстенхабль, ул. Гидростроителей, 12",2020,II (2016—2019),34 000 км,,Электронный,1,Не битый,1.5 CVT (131 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,GB5-*******,Не интересует,Электрический,Климат-контроль однозонный,,,,,,,,,,,Сигнализация,,,,Подушки безопасности,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2010, 108 003 км","4,8",1220000,"Краснодарский край, Краснодар, Восточно-Кругликовская ул., 30",2010,I (2008—2016),108 003 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,,Минивэн,Белый,Правый,GB31******,Не интересует,Гидравлический,Климат-контроль однозонный,,Фронтальные,,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2012, 181 000 км","5,0",2029000,"Тюменская обл., Тюмень, Московский тракт, 320",2012,IV (2011—2015),181 000 км,10 записей в отчёте Автотеки,,3,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022, 3 752 км",Отсутствует,3049000,"Ростовская обл., Аксайский р-н, Аксайское городское поселение, Аксай, Аксайский пр-т, 19",2022,I (2022—2024),3 752 км,Проверить в Автотеке,,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LVHR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2011, 215 000 км","4,8",1497000,"Краснодарский край, Краснодар, Ростовское ш., 20/1",2011,VIII рестайлинг (2011—2013),215 000 км,17 записей в отчёте Автотеки,,3,Не битый,2.4 i-VTEC AT (200 л.с.),2.4 л,Бензин,Автомат,Передний,Type-S,Седан,Синий,Левый,JHMC*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2006, 309 823 км","4,8",615000,"Ярославская обл., Ярославль, ул. Блюхера, 46",2006,VIII (2005—2009),309 823 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,Executive,Хетчбек 5-дверный,Серый,Левый,SHHF*************,Не интересует,Гидравлический,Климат-контроль многозонный,Подушки безопасности,,,Боковые задние,,,,,,,,,,,,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Elysion 2.4 AT, 2005, 187 000 км","4,8",1497000,"Краснодарский край, Краснодар, Ростовское ш., 20/1",2005,I (2004—2006),187 000 км,5 записей в отчёте Автотеки,,1,Не битый,2.4 AT (160 л.с.),2.4 л,Бензин,Автомат,Передний,Базовая,Минивэн,Белый,Правый,RR1-*******,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2016, 58 600 км","4,9",1590000,"Республика Адыгея, Тахтамукайский р-н, Тахтамукайское сельское поселение, аул Тахтамукай, ул. Ленина",2016,V (2015—2017),58 600 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP3-*******,Не интересует,Электрический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,,,,Подушки безопасности,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2013, 145 000 км","5,0",1299000,"Республика Татарстан, Набережные Челны, ул. Академика Королёва, 1В",2013,IX (2011—2015),145 000 км,13 записей в отчёте Автотеки,Оригинал,1,Не битый,1.8 AT (142 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Коричневый,Левый,NLAF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Pilot 3.5 AT, 2002, 200 000 км",Отсутствует,1050000,"Ульяновская обл., Новоспасский р-н, Новоспасское городское поселение, рп. Новоспасское, ул. Мира",2002,I (2002—2005),200 000 км,13 записей в отчёте Автотеки,,3,Не битый,3.5 4WD AT (243 л.с.),3.5 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,2HKY*************,Не интересует,Гидравлический,Климат-контроль многозонный,Противоугонная система,,,,,,,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.4 AT, 2014, 138 000 км","5,0",2195000,"Москва, ул. Генерала Белова, 9",2014,IV (2011—2015),138 000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 4WD AT (190 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Чёрный,Левый,1HGR*************,Не интересует,,Климат-контроль многозонный,Электропривод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зеркал,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2012, 145 200 км","5,0",1550000,"Калининградская обл., Калининград, ул. Баженова, 13Б",2012,IX (2011—2015),145 200 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 AT (142 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Чёрный,Левый,NLAF*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stream 1.8 AT, 2011, 108 000 км","5,0",1559000,"Свердловская обл., Екатеринбург, Кольцевая ул., 39А",2011,II рестайлинг (2009—2014),108 000 км,,Электронный,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Минивэн,Чёрный,Правый,RN6-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2001, 134 000 км","4,8",650000,"Ленинградская обл., Кировский р-н, Кировское городское поселение, Кировск, ул. Кирова, 18",2001,I рестайлинг (1999—2001),134 000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 4WD AT (147 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Золотой,Левый,JHLR*************,Не интересует,Гидравлический,Кондиционер,,,,,,,,,,,,,Электропривод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Помощь при вождении,,,,,,,Круиз-контроль,,,
"Honda Civic 1.8 AT, 2008, 190 327 км","4,9",895000,"Краснодарский край, Геленджик, ул. Тельмана, 130",2008,VIII (2005—2009),190 327 км,13 записей в отчёте Автотеки,Дубликат,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Коричневый,Левый,NLAF*************,Не интересует,Электрогидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2008, 242 174 км","4,9",1100000,"Тюменская обл., Ханты-Мансийский АО, Сургут, пр-т Ленина",2008,VIII (2007—2011),242 174 км,24 записи в отчёте Автотеки,Дубликат,4+,Не битый,2.4 AT (201 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,,Чёрный,Левый,JHMC*************,Не интересует,,,,,,,,,,,,,,,,,,,,,Автоматический парковщик,,,,,,,,,,,,,Усилитель руля,,,,Передних сидений,Управление климатом,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2008, 303 916 км","4,9",1075000,"Республика Башкортостан, Стерлитамак, Западная ул., 9",2008,VIII (2007—2011),303 916 км,12 записей в отчёте Автотеки,,4+,Не битый,2.4 AT (201 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Синий,Левый,JHMC*************,,,Климат-контроль многозонный,,,,,,,,,,,,,,Центральный замок,,,,,,,,,Кожа,,,,,,,,,,,,,,,,,,,,,,,,,,,Противоугонная система,,
"Honda CR-V 2.4 AT, 2003, 160 000 км","4,7",807000,"Архангельская обл., Котлас, ул. Луначарского",2003,II (2001—2004),160 000 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.4 4WD AT (162 л.с.),2.4 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,SHSR*************,Не интересует,Гидравлический,Кондиционер,Подушки безопасности,,,,,,,,,,,,,,,Коленные,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2006, 272 381 км","4,7",751000,"Московская обл., Люберцы, Новорязанское ш., 1Г",2006,VII рестайлинг (2005—2008),272 381 км,10 записей в отчёте Автотеки,,4+,Не битый,2.4 AT (190 л.с.),2.4 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,JHMC*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
